,nagoya-grampus-eight,shimizu-s-pulse
Shots,7,9
ShotsOnTarget,2,2
ShotsFromPK,1,0
Passes,311,461
Crosses,5,18
DirectFK,17,12
IndirectFK,3,2
CK,1,5
Throwin,21,29
Dribbling,8,12
Tackles,26,27
Clearances,32,9
Intercepts,3,5
Offsides,2,1
YellowCards,2,3
RedCards,0,0
30mLineEntries,31,55
PenaltyAreaEntries,8,8
Attacks,129,129
ChanceBuildingRate,5.4,7.0
Possession,43.6,56.4
