,kawasaki-frontale,fc-tokyo
Shots,22,8
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,484,449
Crosses,18,8
DirectFK,11,16
IndirectFK,8,7
CK,7,7
Throwin,16,26
Dribbling,14,4
Tackles,20,27
Clearances,28,42
Intercepts,4,2
Offsides,6,8
YellowCards,1,3
RedCards,0,1
30mLineEntries,51,35
PenaltyAreaEntries,24,9
Attacks,129,138
ChanceBuildingRate,17.1,5.8
Possession,49.2,50.8
