,vissel-kobe,fc-tokyo
Shots,10,9
ShotsOnTarget,3,5
ShotsFromPK,0,0
Passes,362,462
Crosses,16,4
DirectFK,17,18
IndirectFK,5,9
CK,8,2
Throwin,30,25
Dribbling,15,10
Tackles,29,29
Clearances,21,37
Intercepts,4,0
Offsides,7,4
YellowCards,1,2
RedCards,0,1
30mLineEntries,41,30
PenaltyAreaEntries,13,6
Attacks,154,154
ChanceBuildingRate,6.5,5.8
Possession,43.7,56.3
