,nagoya-grampus-eight,sagan-tosu
Shots,8,17
ShotsOnTarget,1,4
ShotsFromPK,0,0
Passes,404,412
Crosses,17,16
DirectFK,16,10
IndirectFK,4,1
CK,3,8
Throwin,25,22
Dribbling,21,18
Tackles,32,29
Clearances,30,20
Intercepts,4,8
Offsides,0,4
YellowCards,2,2
RedCards,0,0
30mLineEntries,46,38
PenaltyAreaEntries,13,17
Attacks,136,143
ChanceBuildingRate,5.9,11.9
Possession,52.2,47.8
