,kashiwa-reysol,jubilo-iwata
Shots,9,21
ShotsOnTarget,1,8
ShotsFromPK,0,0
Passes,356,479
Crosses,13,19
DirectFK,17,14
IndirectFK,6,3
CK,4,11
Throwin,26,17
Dribbling,3,14
Tackles,16,10
Clearances,21,20
Intercepts,3,2
Offsides,3,5
YellowCards,5,3
RedCards,1,0
30mLineEntries,21,54
PenaltyAreaEntries,9,19
Attacks,121,131
ChanceBuildingRate,7.4,16.0
Possession,42.4,57.6
