,cerezo-osaka,sanfrecce-hiroshima
Shots,18,16
ShotsOnTarget,7,8
ShotsFromPK,0,1
Passes,555,388
Crosses,19,19
DirectFK,10,11
IndirectFK,4,0
CK,7,2
Throwin,17,15
Dribbling,17,18
Tackles,8,19
Clearances,17,25
Intercepts,4,4
Offsides,0,4
YellowCards,3,1
RedCards,0,0
30mLineEntries,59,38
PenaltyAreaEntries,21,13
Attacks,129,120
ChanceBuildingRate,14.0,13.3
Possession,54.3,45.7
