,kashima-antlers,yokohama-fa-marinos
Shots,14,13
ShotsOnTarget,5,5
ShotsFromPK,0,0
Passes,457,278
Crosses,18,6
DirectFK,18,21
IndirectFK,0,4
CK,5,1
Throwin,28,27
Dribbling,18,15
Tackles,34,23
Clearances,27,31
Intercepts,2,4
Offsides,4,0
YellowCards,1,2
RedCards,0,1
30mLineEntries,47,21
PenaltyAreaEntries,18,8
Attacks,133,138
ChanceBuildingRate,10.5,9.4
Possession,56.4,43.6
