,kashiwa-reysol,gamba-osaka
Shots,13,15
ShotsOnTarget,6,5
ShotsFromPK,0,0
Passes,455,591
Crosses,22,22
DirectFK,9,15
IndirectFK,5,3
CK,6,8
Throwin,18,21
Dribbling,15,13
Tackles,22,21
Clearances,36,23
Intercepts,4,3
Offsides,3,5
YellowCards,4,1
RedCards,0,0
30mLineEntries,54,50
PenaltyAreaEntries,14,13
Attacks,134,140
ChanceBuildingRate,9.7,10.7
Possession,46.6,53.4
