,albirex-niigata,vegalta-sendai
Shots,9,11
ShotsOnTarget,2,3
ShotsFromPK,0,1
Passes,286,407
Crosses,8,24
DirectFK,17,16
IndirectFK,0,2
CK,4,4
Throwin,23,24
Dribbling,5,14
Tackles,20,19
Clearances,38,30
Intercepts,2,0
Offsides,2,0
YellowCards,7,1
RedCards,1,0
30mLineEntries,26,38
PenaltyAreaEntries,11,10
Attacks,128,129
ChanceBuildingRate,7.0,8.5
Possession,41.1,58.9
