,kashiwa-reysol,yokohama-fa-marinos
Shots,21,14
ShotsOnTarget,9,8
ShotsFromPK,0,0
Passes,493,409
Crosses,16,17
DirectFK,7,17
IndirectFK,3,4
CK,5,2
Throwin,20,24
Dribbling,8,14
Tackles,26,21
Clearances,42,28
Intercepts,0,2
Offsides,3,1
YellowCards,2,2
RedCards,0,0
30mLineEntries,45,44
PenaltyAreaEntries,16,19
Attacks,149,154
ChanceBuildingRate,14.1,9.1
Possession,53.7,46.3
