,urawa-red-diamonds,omiya-ardija
Shots,20,4
ShotsOnTarget,4,1
ShotsFromPK,0,0
Passes,798,296
Crosses,26,5
DirectFK,16,11
IndirectFK,0,0
CK,3,1
Throwin,20,13
Dribbling,20,9
Tackles,17,19
Clearances,10,32
Intercepts,3,3
Offsides,0,0
YellowCards,1,5
RedCards,0,1
30mLineEntries,106,14
PenaltyAreaEntries,26,4
Attacks,108,106
ChanceBuildingRate,18.5,3.8
Possession,66.9,33.1
