,fc-tokyo,kawasaki-frontale
Shots,20,8
ShotsOnTarget,7,2
ShotsFromPK,0,0
Passes,699,406
Crosses,20,2
DirectFK,10,12
IndirectFK,5,3
CK,5,3
Throwin,16,19
Dribbling,17,19
Tackles,20,21
Clearances,13,35
Intercepts,2,1
Offsides,2,5
YellowCards,3,3
RedCards,0,0
30mLineEntries,62,25
PenaltyAreaEntries,13,6
Attacks,129,131
ChanceBuildingRate,15.5,6.1
Possession,60.5,39.5
