,shimizu-s-pulse,sagan-tosu
Shots,10,13
ShotsOnTarget,3,6
ShotsFromPK,1,0
Passes,408,321
Crosses,13,12
DirectFK,18,17
IndirectFK,8,4
CK,4,5
Throwin,27,16
Dribbling,21,9
Tackles,22,25
Clearances,19,26
Intercepts,1,0
Offsides,3,7
YellowCards,0,4
RedCards,0,0
30mLineEntries,33,28
PenaltyAreaEntries,8,8
Attacks,138,137
ChanceBuildingRate,7.2,9.5
Possession,54.6,45.4
