,kashima-antlers,consadole-sapporo
Shots,22,16
ShotsOnTarget,13,4
ShotsFromPK,1,0
Passes,579,367
Crosses,12,11
DirectFK,7,9
IndirectFK,4,3
CK,6,4
Throwin,27,19
Dribbling,26,17
Tackles,27,18
Clearances,18,23
Intercepts,6,2
Offsides,3,4
YellowCards,0,2
RedCards,0,0
30mLineEntries,52,33
PenaltyAreaEntries,25,18
Attacks,128,120
ChanceBuildingRate,17.2,13.3
Possession,58.4,41.6
