,nagoya-grampus-eight,urawa-red-diamonds
Shots,17,17
ShotsOnTarget,8,4
ShotsFromPK,0,1
Passes,460,435
Crosses,19,7
DirectFK,15,12
IndirectFK,0,0
CK,6,0
Throwin,23,17
Dribbling,17,14
Tackles,13,22
Clearances,10,23
Intercepts,4,1
Offsides,0,0
YellowCards,3,3
RedCards,1,0
30mLineEntries,54,37
PenaltyAreaEntries,15,13
Attacks,116,103
ChanceBuildingRate,14.7,16.5
Possession,54.2,45.8
