,vegalta-sendai,cerezo-osaka
Shots,22,14
ShotsOnTarget,9,6
ShotsFromPK,0,0
Passes,529,285
Crosses,31,18
DirectFK,8,10
IndirectFK,5,3
CK,10,5
Throwin,39,21
Dribbling,16,18
Tackles,19,23
Clearances,23,54
Intercepts,3,3
Offsides,3,5
YellowCards,2,3
RedCards,0,1
30mLineEntries,59,29
PenaltyAreaEntries,17,12
Attacks,154,141
ChanceBuildingRate,14.3,9.9
Possession,59.3,40.7
