,albirex-niigata,jubilo-iwata
Shots,9,20
ShotsOnTarget,2,10
ShotsFromPK,0,0
Passes,396,620
Crosses,13,23
DirectFK,20,12
IndirectFK,4,2
CK,0,4
Throwin,25,22
Dribbling,17,11
Tackles,12,16
Clearances,22,21
Intercepts,2,3
Offsides,1,4
YellowCards,3,2
RedCards,1,0
30mLineEntries,33,61
PenaltyAreaEntries,9,24
Attacks,123,126
ChanceBuildingRate,7.3,15.9
Possession,43.2,56.8
