,HomeShots,HomeShotsOnTarget,HomeShotsFromPK,HomePasses,HomeCrosses,HomeDirectFK,HomeIndirectFK,HomeCK,HomeThrowin,HomeDribbling,HomeTackles,HomeClearances,HomeIntercepts,HomeOffsides,HomeYellowCards,HomeRedCards,Home30mLineEntries,HomePenaltyAreaEntries,HomeAttacks,HomeChanceBuildingRate,HomePossession,AwayShots,AwayShotsOnTarget,AwayShotsFromPK,AwayPasses,AwayCrosses,AwayDirectFK,AwayIndirectFK,AwayCK,AwayThrowin,AwayDribbling,AwayTackles,AwayClearances,AwayIntercepts,AwayOffsides,AwayYellowCards,AwayRedCards,Away30mLineEntries,AwayPenaltyAreaEntries,AwayAttacks,AwayChanceBuildingRate,AwayPossession
15163322,11.0,4.0,0.0,362.0,12.0,9.0,1.0,4.0,35.0,12.0,20.0,15.0,1.0,4.0,1.0,0.0,34.0,10.0,143.0,7.7,48.0,8.0,5.0,1.0,407.0,16.0,20.0,4.0,0.0,24.0,12.0,23.0,33.0,2.0,1.0,0.0,0.0,35.0,6.0,141.0,5.7,52.0
15161029,27.0,11.0,0.0,517.0,15.0,8.0,1.0,7.0,17.0,17.0,18.0,21.0,5.0,6.0,0.0,0.0,37.0,13.0,124.0,21.8,51.6,14.0,6.0,0.0,506.0,19.0,6.0,7.0,5.0,22.0,10.0,23.0,13.0,8.0,1.0,0.0,0.0,47.0,15.0,124.0,11.3,48.4
15161278,17.0,3.0,0.0,524.0,8.0,19.0,2.0,3.0,28.0,11.0,23.0,21.0,1.0,2.0,1.0,0.0,41.0,16.0,149.0,11.4,53.7,13.0,8.0,0.0,353.0,13.0,10.0,3.0,3.0,22.0,18.0,27.0,23.0,3.0,1.0,1.0,0.0,39.0,13.0,153.0,8.5,46.3
15160728,15.0,6.0,1.0,580.0,28.0,10.0,4.0,13.0,34.0,11.0,26.0,18.0,2.0,2.0,1.0,0.0,53.0,28.0,154.0,9.7,57.8,12.0,5.0,0.0,301.0,4.0,10.0,2.0,0.0,20.0,9.0,22.0,62.0,3.0,4.0,1.0,0.0,19.0,11.0,135.0,8.9,42.2
15160811,5.0,3.0,0.0,360.0,9.0,16.0,1.0,1.0,23.0,7.0,30.0,33.0,2.0,3.0,2.0,0.0,28.0,4.0,124.0,4.0,42.2,18.0,7.0,0.0,611.0,16.0,15.0,3.0,8.0,20.0,10.0,24.0,23.0,0.0,1.0,1.0,1.0,60.0,20.0,128.0,14.1,57.8
15161803,10.0,1.0,0.0,491.0,16.0,8.0,4.0,5.0,29.0,18.0,18.0,10.0,6.0,3.0,2.0,0.0,45.0,13.0,128.0,7.8,58.4,14.0,6.0,0.0,337.0,4.0,23.0,3.0,1.0,17.0,13.0,37.0,28.0,5.0,4.0,2.0,1.0,34.0,15.0,133.0,10.5,41.6
15131109,9.0,4.0,0.0,638.0,10.0,12.0,2.0,3.0,20.0,9.0,25.0,26.0,8.0,1.0,0.0,0.0,47.0,10.0,133.0,6.8,52.1,13.0,3.0,0.0,570.0,18.0,12.0,1.0,5.0,27.0,14.0,21.0,16.0,4.0,2.0,1.0,0.0,53.0,13.0,129.0,10.1,47.9
15170121,18.0,5.0,0.0,494.0,15.0,12.0,1.0,4.0,28.0,25.0,27.0,12.0,1.0,2.0,2.0,0.0,54.0,17.0,121.0,14.9,48.9,11.0,5.0,0.0,577.0,9.0,11.0,2.0,2.0,25.0,13.0,35.0,25.0,1.0,1.0,4.0,0.0,26.0,7.0,117.0,9.4,51.1
15172811,12.0,2.0,0.0,468.0,17.0,15.0,0.0,9.0,20.0,15.0,25.0,18.0,4.0,1.0,0.0,0.0,41.0,11.0,124.0,9.7,44.9,4.0,2.0,0.0,657.0,8.0,6.0,1.0,4.0,28.0,6.0,12.0,23.0,4.0,0.0,2.0,0.0,40.0,9.0,111.0,3.6,55.1
15174612,13.0,4.0,1.0,283.0,15.0,11.0,1.0,3.0,24.0,9.0,24.0,23.0,5.0,0.0,2.0,0.0,29.0,16.0,128.0,10.2,43.4,19.0,3.0,0.0,414.0,10.0,12.0,2.0,4.0,33.0,12.0,13.0,29.0,0.0,1.0,1.0,0.0,48.0,17.0,144.0,13.2,56.6
15170378,15.0,6.0,1.0,535.0,17.0,17.0,0.0,3.0,14.0,18.0,24.0,16.0,4.0,3.0,0.0,0.0,46.0,17.0,131.0,11.5,58.4,16.0,7.0,1.0,356.0,10.0,12.0,3.0,7.0,26.0,9.0,17.0,11.0,3.0,0.0,0.0,0.0,37.0,14.0,129.0,12.4,41.6
