team_id,team,チーム名
1,consadole-sapporo,札幌
2,vegalta-sendai,仙台
3,kashima-antlers,鹿島
4,urawa-red-diamonds,浦和
5,kashiwa-reysol,柏
6,fc-tokyo,FC東京
7,kawasaki-frontale,川崎Ｆ
8,yokohama-fa-marinos,横浜FM
9,yokohama-fc,横浜FC
10,shonan-bellmare,湘南
11,shimizu-s-pulse,清水
12,nagoya-grampus-eight,名古屋
13,gamba-osaka,Ｇ大阪
14,cerezo-osaka,Ｃ大阪
15,vissel-kobe,神戸
16,sanfrecce-hiroshima,広島
17,sagan-tosu,鳥栖
18,oita-trinita,大分
