Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-24,sanfrecce-hiroshima,16,0-1,0,1,2,1,Ｅスタ,17026,晴,57,41,0.139,16,0.0,0.588,22.46,16.09,82.26,12.38,[''],ペトロヴィッチ
2,2019-03-02,cerezo-osaka,14,3-3,3,3,0,1,金鳥スタ,10415,晴,58,46,0.11,15,0.2,0.539,19.02,13.59,78.39,12.42,"['チャナティップ', '深井', '進藤']",ペトロヴィッチ
3,2019-03-01,shimizu-s-pulse,11,1-3,1,3,2,0,札幌ド,19390,屋内,46,52,0.103,13,0.077,0.643,21.09,14.77,87.68,15.68,['ジェイ'],ペトロヴィッチ
4,2019-03-18,other,0,2-1,2,1,1,0,札幌ド,13568,屋内,46,50,0.106,13,0.154,0.6,16.23,11.52,89.7,11.62,"['ジェイ', 'チャナティップ']",ペトロヴィッチ
5,2019-03-31,kashima-antlers,3,0-0,0,0,0,1,カシマ,19629,晴,60,40,0.138,16,0.0,0.506,15.97,10.87,107.11,11.18,[''],ペトロヴィッチ
6,2019-04-07,nagoya-grampus-eight,12,3-0,3,0,1,0,札幌ド,17390,屋内,56,56,0.207,24,0.083,0.419,16.03,8.81,104.42,10.1,"['進藤', '都倉', 'OG']",ペトロヴィッチ
7,2019-04-11,shonan-bellmare,10,1-0,1,0,1,0,札幌ド,11183,屋内,50,59,0.16,20,0.05,0.631,21.85,17.41,81.46,13.77,['都倉'],ペトロヴィッチ
8,2019-04-14,kashiwa-reysol,5,2-1,2,1,1,1,三協Ｆ柏,9533,曇,44,43,0.114,13,0.154,0.415,13.5,6.68,77.94,21.24,"['宮吉', '都倉']",ペトロヴィッチ
9,2019-04-21,urawa-red-diamonds,4,0-0,0,0,0,1,埼玉,39091,晴,45,42,0.085,9,0.0,0.503,13.39,11.24,65.33,17.66,[''],ペトロヴィッチ
10,2019-04-25,yokohama-fa-marinos,8,2-1,2,1,1,0,札幌厚別,6729,雨,43,42,0.1,12,0.167,0.387,10.76,6.01,81.81,21.95,"['都倉', '進藤']",ペトロヴィッチ
11,2019-04-28,vegalta-sendai,2,2-2,2,2,0,1,ユアスタ,13812,晴,39,36,0.066,8,0.25,0.436,11.64,8.49,104.6,21.43,"['福森', 'チャナティップ']",ペトロヴィッチ
12,2019-05-02,sagan-tosu,17,2-1,2,1,1,1,ベアスタ,7377,曇時々雨のち曇,38,44,0.115,13,0.154,0.573,15.17,11.77,78.74,13.11,['ジュリーニョx2'],ペトロヴィッチ
13,2019-05-05,gamba-osaka,13,2-0,2,0,1,0,札幌厚別,12382,曇,51,37,0.131,17,0.118,0.494,14.52,11.13,81.02,13.44,"['深井', '都倉']",ペトロヴィッチ
14,2019-05-13,fc-tokyo,6,0-0,0,0,0,1,味スタ,24589,雨,52,37,0.083,9,0.0,0.489,13.06,9.21,72.77,15.87,[''],ペトロヴィッチ
15,2019-05-02,vissel-kobe,15,0-4,0,4,2,1,ノエスタ,18725,晴,56,37,0.151,16,0.0,0.414,15.25,11.7,61.25,16.56,[''],ペトロヴィッチ
16,2019-07-18,kawasaki-frontale,7,1-2,1,2,2,0,札幌厚別,10711,曇,50,34,0.104,12,0.083,0.459,14.48,12.18,82.4,14.38,['都倉'],ペトロヴィッチ
17,2019-07-22,other,0,0-0,0,0,0,0,札幌厚別,10723,曇,48,55,0.071,9,0.0,0.593,16.43,12.09,101.99,13.68,[''],ペトロヴィッチ
19,2019-08-01,other,0,3-2,3,2,1,1,トラスタ,6579,曇,55,52,0.163,17,0.176,0.47,21.19,15.84,87.49,10.13,"['ジェイ', 'チャナティップ', '都倉']",ペトロヴィッチ
20,2019-08-05,kashiwa-reysol,5,1-2,1,2,2,0,札幌ド,26805,屋内,57,39,0.16,21,0.048,0.522,23.68,16.1,74.68,16.5,['ジェイ'],ペトロヴィッチ
21,2019-08-11,cerezo-osaka,14,1-1,1,1,0,0,札幌ド,21614,屋内,52,45,0.076,8,0.125,0.432,13.67,11.79,76.19,17.53,['チャナティップ'],ペトロヴィッチ
22,2019-08-15,gamba-osaka,13,1-1,1,1,0,1,吹田Ｓ,21203,曇,63,46,0.256,30,0.033,0.611,33.19,23.03,77.62,8.15,['都倉'],ペトロヴィッチ
23,2019-08-19,fc-tokyo,6,3-2,3,2,1,0,札幌ド,18521,屋内,51,35,0.09,10,0.3,0.537,16.47,13.09,77.86,12.58,"['都倉', '白井', 'チャナティップ']",ペトロヴィッチ
24,2019-08-25,shimizu-s-pulse,11,2-1,2,1,1,1,アイスタ,13649,晴,43,46,0.107,13,0.154,0.573,14.31,12.12,68.24,18.46,"['宮澤', '都倉']",ペトロヴィッチ
25,2019-09-01,vissel-kobe,15,3-1,3,1,1,0,札幌ド,32475,屋内,55,50,0.143,15,0.2,0.475,19.47,13.45,78.31,12.74,"['菅', '都倉', '福森']",ペトロヴィッチ
26,2019-09-15,kawasaki-frontale,7,0-7,0,7,2,1,等々力,22522,曇,45,39,0.063,7,0.0,0.51,14.09,12.24,101.98,10.27,[''],ペトロヴィッチ
27,2019-09-23,kashima-antlers,3,0-2,0,2,2,0,札幌ド,21074,屋内,48,37,0.075,8,0.0,0.58,15.8,13.01,49.89,8.77,[''],ペトロヴィッチ
28,2019-09-29,sagan-tosu,17,2-1,2,1,1,0,札幌ド,16195,屋内,48,40,0.133,15,0.133,0.522,14.57,11.54,89.59,16.52,"['三好', '都倉']",ペトロヴィッチ
29,2019-10-05,yokohama-fa-marinos,8,1-2,1,2,2,1,日産ス,19124,雨,41,41,0.068,8,0.125,0.456,16.02,10.5,60.85,18.17,['ジェイ'],ペトロヴィッチ
30,2019-10-02,shonan-bellmare,10,2-2,2,2,0,1,ＢＭＷス,11982,晴のち曇,56,44,0.175,22,0.091,0.566,20.26,15.7,82.73,13.31,"['ジェイ', 'チャナティップ']",ペトロヴィッチ
18,2019-10-28,nagoya-grampus-eight,12,2-1,2,1,1,1,パロ瑞穂,17400,晴,65,47,0.178,19,0.105,0.553,30.75,26.87,89.88,15.69,['ジェイx2'],ペトロヴィッチ
31,2019-11-04,vegalta-sendai,2,1-0,1,0,1,0,札幌ド,24065,屋内,59,42,0.182,20,0.05,0.558,21.48,14.01,81.01,11.41,['三好'],ペトロヴィッチ
32,2019-11-01,urawa-red-diamonds,4,1-2,1,2,2,0,札幌厚別,12723,曇,46,49,0.133,15,0.067,0.552,17.17,14.1,84.37,14.31,['進藤'],ペトロヴィッチ
33,2019-11-24,other,0,2-0,2,0,1,1,ヤマハ,14051,晴,51,58,0.096,12,0.083,0.5,19.09,15.17,94.29,14.68,"['三好', 'OG']",ペトロヴィッチ
34,2019-12-01,sanfrecce-hiroshima,16,2-2,2,2,0,0,札幌ド,34250,屋内,53,41,0.151,14,0.143,0.5,18.96,14.68,68.36,13.84,"['チャナティップ', 'ジェイ']",ペトロヴィッチ
