,ventforet-kofu,vissel-kobe
Shots,9,17
ShotsOnTarget,0,6
ShotsFromPK,0,0
Passes,341,482
Crosses,13,9
DirectFK,16,9
IndirectFK,2,1
CK,1,4
Throwin,24,31
Dribbling,10,7
Tackles,19,30
Clearances,21,23
Intercepts,1,3
Offsides,1,2
YellowCards,2,2
RedCards,0,0
30mLineEntries,29,34
PenaltyAreaEntries,11,16
DistanceCovered,111125,105894
Sprints,173,151
Attacks,119,116
ChanceBuildingRate,7.6,14.7
Possession,42.8,57.2
