,kashima-antlers,urawa-red-diamonds
Shots,10,16
ShotsOnTarget,5,7
ShotsFromPK,1,0
Passes,309,575
Crosses,8,15
DirectFK,18,15
IndirectFK,1,4
CK,6,7
Throwin,20,16
Dribbling,13,13
Tackles,29,32
Clearances,25,21
Intercepts,2,1
Offsides,4,1
YellowCards,0,0
RedCards,0,0
30mLineEntries,33,55
PenaltyAreaEntries,4,13
DistanceCovered,111178,112362
Sprints,162,184
Attacks,122,114
ChanceBuildingRate,8.2,14.0
Possession,41.6,58.4
