,kawasaki-frontale,vissel-kobe
Shots,24,20
ShotsOnTarget,6,5
ShotsFromPK,0,0
Passes,591,462
Crosses,10,15
DirectFK,17,12
IndirectFK,3,4
CK,4,6
Throwin,27,10
Dribbling,12,18
Tackles,31,29
Clearances,23,25
Intercepts,4,3
Offsides,4,3
YellowCards,0,3
RedCards,0,0
30mLineEntries,52,40
PenaltyAreaEntries,16,12
Attacks,139,125
ChanceBuildingRate,17.3,16.0
Possession,53.8,46.2
