,kashima-antlers,shimizu-s-pulse
Shots,23,6
ShotsOnTarget,4,2
ShotsFromPK,1,0
Passes,579,294
Crosses,30,11
DirectFK,14,7
IndirectFK,3,3
CK,10,2
Throwin,34,19
Dribbling,15,10
Tackles,11,17
Clearances,19,35
Intercepts,2,1
Offsides,3,3
YellowCards,0,4
RedCards,0,0
30mLineEntries,54,35
PenaltyAreaEntries,36,7
DistanceCovered,110919,110184
Sprints,166,175
Attacks,135,115
ChanceBuildingRate,17.0,5.2
Possession,63,37
