,kawasaki-frontale,cerezo-osaka
ExpG,2.488,1.421
Shots,15,12
ShotsOnTarget,9,6
ShotsFromPK,1,0
Passes,556,481
Crosses,6,9
DirectFK,6,15
IndirectFK,0,1
CK,4,2
Throwin,16,11
Dribbling,13,7
Tackles,16,19
Clearances,16,13
Intercepts,4,2
Offsides,1,0
YellowCards,1,0
RedCards,0,0
30mLineEntries,64,40
PenaltyAreaEntries,21,3
DistanceCovered,107622,108419
Sprints,131,121
Attacks,100,104
ChanceBuildingRate,15.0,11.5
Possession,52.2,47.8
