,kawasaki-frontale,shonan-bellmare
ExpG,2.996,0.443
Shots,29,5
ShotsOnTarget,11,2
ShotsFromPK,0,0
Passes,751,423
Crosses,20,6
DirectFK,4,2
IndirectFK,1,3
CK,6,2
Throwin,18,15
Dribbling,10,5
Tackles,22,17
Clearances,13,24
Intercepts,2,1
Offsides,3,1
YellowCards,0,0
RedCards,0,0
30mLineEntries,76,21
PenaltyAreaEntries,38,4
DistanceCovered,107952,112904
Sprints,117,105
Attacks,110,103
ChanceBuildingRate,26.4,4.9
Possession,58.4,41.6
