,kawasaki-frontale,kashiwa-reysol
ExpG,1.345,0.519
Shots,14,5
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,662,462
Crosses,13,11
DirectFK,15,11
IndirectFK,1,0
CK,6,4
Throwin,19,23
Dribbling,11,4
Tackles,14,30
Clearances,17,19
Intercepts,5,3
Offsides,0,1
YellowCards,3,2
RedCards,0,0
30mLineEntries,76,31
PenaltyAreaEntries,19,4
DistanceCovered,111258,110730
Sprints,150,151
Attacks,128,125
ChanceBuildingRate,10.9,4.0
Possession,56.1,43.9
