,nagoya-grampus-eight,vissel-kobe
Shots,13,7
ShotsOnTarget,5,2
ShotsFromPK,1,0
Passes,369,526
Crosses,17,14
DirectFK,20,5
IndirectFK,0,2
CK,5,3
Throwin,31,25
Dribbling,11,19
Tackles,17,32
Clearances,17,33
Intercepts,1,1
Offsides,2,0
YellowCards,0,2
RedCards,0,0
30mLineEntries,39,49
PenaltyAreaEntries,14,10
Attacks,132,115
ChanceBuildingRate,9.8,6.1
Possession,41.3,58.7
