,fc-tokyo,sagan-tosu
Shots,16,9
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,739,303
Crosses,18,6
DirectFK,10,5
IndirectFK,1,3
CK,7,1
Throwin,22,23
Dribbling,15,5
Tackles,16,25
Clearances,16,43
Intercepts,3,5
Offsides,3,1
YellowCards,0,2
RedCards,0,0
30mLineEntries,59,28
PenaltyAreaEntries,13,9
Attacks,136,132
ChanceBuildingRate,11.8,6.8
Possession,63.1,36.9
