,kashima-antlers,shonan-bellmare
ExpG,1.717,0.708
Shots,15,9
ShotsOnTarget,5,1
ShotsFromPK,0,0
Passes,511,325
Crosses,14,13
DirectFK,9,11
IndirectFK,2,3
CK,6,1
Throwin,25,27
Dribbling,12,9
Tackles,19,21
Clearances,17,29
Intercepts,1,3
Offsides,3,2
YellowCards,2,3
RedCards,0,1
30mLineEntries,56,34
PenaltyAreaEntries,11,11
DistanceCovered,106516,109677
Sprints,175,212
Attacks,118,113
ChanceBuildingRate,12.7,8.0
Possession,57.5,42.5
