,urawa-red-diamonds,kawasaki-frontale
ExpG,0.888,3.463
Shots,8,25
ShotsOnTarget,1,10
ShotsFromPK,0,0
Passes,436,660
Crosses,12,12
DirectFK,7,17
IndirectFK,0,2
CK,4,1
Throwin,15,19
Dribbling,7,15
Tackles,22,24
Clearances,7,22
Intercepts,2,1
Offsides,2,0
YellowCards,1,2
RedCards,0,0
30mLineEntries,28,72
PenaltyAreaEntries,7,24
DistanceCovered,109816,111359
Sprints,174,179
Attacks,113,114
ChanceBuildingRate,7.1,21.9
Possession,42.3,57.7
