,v-varen-nagasaki,shimizu-s-pulse
Shots,19,18
ShotsOnTarget,9,8
ShotsFromPK,1,1
Passes,410,461
Crosses,17,20
DirectFK,15,9
IndirectFK,1,1
CK,7,4
Throwin,22,16
Dribbling,12,8
Tackles,15,16
Clearances,21,37
Intercepts,2,2
Offsides,1,1
YellowCards,1,2
RedCards,0,0
30mLineEntries,34,53
PenaltyAreaEntries,14,15
DistanceCovered,116889,115104
Sprints,195,192
Attacks,131,117
ChanceBuildingRate,14.5,15.4
Possession,49.2,50.8
