,yokohama-fa-marinos,urawa-red-diamonds
ExpG,4.615,2.769
Shots,28,16
ShotsOnTarget,14,5
ShotsFromPK,0,0
Passes,625,508
Crosses,31,15
DirectFK,6,14
IndirectFK,4,1
CK,11,3
Throwin,19,16
Dribbling,18,14
Tackles,29,28
Clearances,13,24
Intercepts,4,1
Offsides,1,4
YellowCards,0,1
RedCards,0,0
30mLineEntries,78,41
PenaltyAreaEntries,34,10
DistanceCovered,128824,120854
Sprints,257,214
Attacks,128,130
ChanceBuildingRate,21.9,12.3
Possession,52.1,47.9
