,kashiwa-reysol,vegalta-sendai
Shots,11,9
ShotsOnTarget,4,5
ShotsFromPK,0,0
Passes,431,265
Crosses,30,10
DirectFK,20,17
IndirectFK,0,5
CK,6,4
Throwin,45,38
Dribbling,9,16
Tackles,24,18
Clearances,27,50
Intercepts,6,3
Offsides,5,0
YellowCards,4,4
RedCards,1,0
30mLineEntries,35,25
PenaltyAreaEntries,12,11
Attacks,168,154
ChanceBuildingRate,6.5,5.8
Possession,58.4,41.6
