,omiya-ardija,shimizu-s-pulse
Shots,12,7
ShotsOnTarget,0,0
ShotsFromPK,0,0
Passes,505,338
Crosses,23,13
DirectFK,13,13
IndirectFK,2,1
CK,9,7
Throwin,17,33
Dribbling,12,10
Tackles,23,21
Clearances,31,35
Intercepts,2,4
Offsides,1,2
YellowCards,1,3
RedCards,0,0
30mLineEntries,34,37
PenaltyAreaEntries,18,12
DistanceCovered,104080,103969
Sprints,129,113
Attacks,118,130
ChanceBuildingRate,10.2,5.4
Possession,56.1,43.9
