,shonan-bellmare,sanfrecce-hiroshima
ExpG,0.634,1.448
Shots,11,10
ShotsOnTarget,1,1
ShotsFromPK,0,0
Passes,339,629
Crosses,10,21
DirectFK,13,17
IndirectFK,4,2
CK,1,7
Throwin,19,25
Dribbling,12,10
Tackles,18,29
Clearances,38,11
Intercepts,2,4
Offsides,0,4
YellowCards,2,0
RedCards,0,0
30mLineEntries,27,43
PenaltyAreaEntries,15,19
DistanceCovered,120789,116927
Sprints,174,165
Attacks,128,134
ChanceBuildingRate,8.6,7.5
Possession,41.5,58.5
