,albirex-niigata,urawa-red-diamonds
Shots,13,21
ShotsOnTarget,7,9
ShotsFromPK,0,0
Passes,365,495
Crosses,11,15
DirectFK,11,18
IndirectFK,0,4
CK,8,5
Throwin,23,18
Dribbling,9,17
Tackles,27,24
Clearances,11,20
Intercepts,4,6
Offsides,3,0
YellowCards,3,3
RedCards,0,0
30mLineEntries,42,46
PenaltyAreaEntries,15,16
DistanceCovered,110156,110885
Sprints,150,153
Attacks,127,131
ChanceBuildingRate,10.2,16.0
Possession,42.8,57.2
