,yokohama-fa-marinos,kashiwa-reysol
Shots,17,13
ShotsOnTarget,6,1
ShotsFromPK,0,0
Passes,559,423
Crosses,18,16
DirectFK,14,15
IndirectFK,5,3
CK,7,8
Throwin,12,17
Dribbling,18,18
Tackles,16,13
Clearances,24,26
Intercepts,4,3
Offsides,3,4
YellowCards,1,1
RedCards,0,0
30mLineEntries,40,36
PenaltyAreaEntries,15,20
DistanceCovered,114539,107716
Sprints,171,163
Attacks,98,105
ChanceBuildingRate,17.3,12.4
Possession,56.2,43.8
