,sagan-tosu,urawa-red-diamonds
Shots,5,18
ShotsOnTarget,2,10
ShotsFromPK,0,0
Passes,301,589
Crosses,11,11
DirectFK,12,12
IndirectFK,3,7
CK,2,3
Throwin,18,15
Dribbling,10,11
Tackles,28,16
Clearances,17,20
Intercepts,1,3
Offsides,7,3
YellowCards,3,2
RedCards,1,0
30mLineEntries,24,59
PenaltyAreaEntries,2,14
DistanceCovered,107497,111227
Sprints,133,139
Attacks,119,122
ChanceBuildingRate,4.2,14.8
Possession,39.5,60.5
