,urawa-red-diamonds,sagan-tosu
Shots,22,12
ShotsOnTarget,7,5
ShotsFromPK,0,0
Passes,549,367
Crosses,17,14
DirectFK,18,8
IndirectFK,3,3
CK,8,2
Throwin,15,27
Dribbling,10,6
Tackles,20,24
Clearances,15,24
Intercepts,1,1
Offsides,3,3
YellowCards,0,1
RedCards,0,0
30mLineEntries,40,29
PenaltyAreaEntries,18,16
Attacks,131,130
ChanceBuildingRate,16.8,9.2
Possession,56.1,43.9
