,kawasaki-frontale,jubilo-iwata
ExpG,1.243,0.455
Shots,15,10
ShotsOnTarget,6,2
ShotsFromPK,0,0
Passes,516,572
Crosses,10,11
DirectFK,14,8
IndirectFK,0,2
CK,4,4
Throwin,16,27
Dribbling,9,12
Tackles,24,25
Clearances,25,17
Intercepts,2,3
Offsides,2,0
YellowCards,1,2
RedCards,0,0
30mLineEntries,39,42
PenaltyAreaEntries,9,8
DistanceCovered,112812,109835
Sprints,145,142
Attacks,111,117
ChanceBuildingRate,13.5,8.5
Possession,45.8,54.2
