,shonan-bellmare,nagoya-grampus-eight
ExpG,0.681,1.426
Shots,7,12
ShotsOnTarget,0,2
ShotsFromPK,0,0
Passes,379,509
Crosses,15,17
DirectFK,8,8
IndirectFK,1,5
CK,4,9
Throwin,16,28
Dribbling,11,9
Tackles,20,15
Clearances,16,12
Intercepts,1,1
Offsides,5,1
YellowCards,1,1
RedCards,0,0
30mLineEntries,30,39
PenaltyAreaEntries,4,7
DistanceCovered,110813,108334
Sprints,166,156
Attacks,105,121
ChanceBuildingRate,6.7,9.9
Possession,44.8,55.2
