,vissel-kobe,yokohama-fa-marinos
ExpG,2.153,2.09
Shots,14,14
ShotsOnTarget,7,4
ShotsFromPK,0,1
Passes,510,482
Crosses,14,15
DirectFK,18,7
IndirectFK,4,7
CK,8,0
Throwin,22,36
Dribbling,12,11
Tackles,15,18
Clearances,16,14
Intercepts,0,2
Offsides,7,4
YellowCards,1,3
RedCards,0,0
30mLineEntries,32,48
PenaltyAreaEntries,9,15
DistanceCovered,110000,116152
Sprints,198,196
Attacks,137,126
ChanceBuildingRate,10.2,11.1
Possession,54,46
