,kashiwa-reysol,avispa-fukuoka
Shots,18,11
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,635,370
Crosses,15,12
DirectFK,15,7
IndirectFK,3,2
CK,4,2
Throwin,22,33
Dribbling,12,6
Tackles,24,18
Clearances,25,29
Intercepts,5,0
Offsides,1,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,47,23
PenaltyAreaEntries,24,11
DistanceCovered,112072,112621
Sprints,176,193
Attacks,122,122
ChanceBuildingRate,14.8,9.0
Possession,59.9,40.1
