,urawa-red-diamonds,sanfrecce-hiroshima
ExpG,0.954,2.121
Shots,3,24
ShotsOnTarget,1,6
ShotsFromPK,1,0
Passes,275,702
Crosses,7,33
DirectFK,4,8
IndirectFK,1,1
CK,0,13
Throwin,20,27
Dribbling,8,21
Tackles,18,10
Clearances,43,8
Intercepts,0,1
Offsides,1,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,12,106
PenaltyAreaEntries,5,19
DistanceCovered,105559,105362
Sprints,103,114
Attacks,92,117
ChanceBuildingRate,3.3,20.5
Possession,34.3,65.7
