,omiya-ardija,vissel-kobe
Shots,10,14
ShotsOnTarget,2,7
ShotsFromPK,0,0
Passes,513,460
Crosses,21,6
DirectFK,22,13
IndirectFK,4,6
CK,8,0
Throwin,31,18
Dribbling,17,9
Tackles,27,24
Clearances,12,38
Intercepts,4,1
Offsides,6,4
YellowCards,0,3
RedCards,0,0
30mLineEntries,38,46
PenaltyAreaEntries,10,12
Attacks,148,122
ChanceBuildingRate,6.8,11.5
Possession,53.9,46.1
