,gamba-osaka,matsumoto-yamaga
ExpG,2.949,1.881
Shots,23,18
ShotsOnTarget,6,6
ShotsFromPK,0,0
Passes,731,408
Crosses,15,11
DirectFK,8,14
IndirectFK,1,0
CK,8,7
Throwin,18,20
Dribbling,14,15
Tackles,16,29
Clearances,21,17
Intercepts,5,1
Offsides,0,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,43,41
PenaltyAreaEntries,13,12
DistanceCovered,115336,118691
Sprints,201,208
Attacks,118,123
ChanceBuildingRate,19.5,14.6
Possession,61.4,38.6
