,sanfrecce-hiroshima,ventforet-kofu
Shots,21,5
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,778,300
Crosses,41,9
DirectFK,8,12
IndirectFK,0,3
CK,10,1
Throwin,35,16
Dribbling,31,10
Tackles,12,15
Clearances,5,44
Intercepts,2,3
Offsides,3,0
YellowCards,0,1
RedCards,0,1
30mLineEntries,107,27
PenaltyAreaEntries,22,9
Attacks,121,102
ChanceBuildingRate,17.4,4.9
Possession,66.8,33.2
