,oita-trinita,matsumoto-yamaga
ExpG,0.507,1.546
Shots,4,14
ShotsOnTarget,0,6
ShotsFromPK,0,0
Passes,713,284
Crosses,8,12
DirectFK,11,11
IndirectFK,1,3
CK,0,4
Throwin,27,18
Dribbling,5,10
Tackles,19,22
Clearances,22,17
Intercepts,1,2
Offsides,2,1
YellowCards,1,1
RedCards,0,0
30mLineEntries,38,21
PenaltyAreaEntries,7,8
DistanceCovered,115086,119729
Sprints,168,215
Attacks,105,100
ChanceBuildingRate,3.8,14.0
Possession,68,32
