,shonan-bellmare,nagoya-grampus-eight
ExpG,1.872,2.744
Shots,13,21
ShotsOnTarget,2,4
ShotsFromPK,1,0
Passes,302,579
Crosses,12,11
DirectFK,11,17
IndirectFK,3,1
CK,3,7
Throwin,20,18
Dribbling,15,13
Tackles,22,20
Clearances,28,22
Intercepts,1,3
Offsides,1,3
YellowCards,3,1
RedCards,0,0
30mLineEntries,31,61
PenaltyAreaEntries,10,20
DistanceCovered,116424,113194
Sprints,178,178
Attacks,135,136
ChanceBuildingRate,9.6,15.4
Possession,43.3,56.7
