,sanfrecce-hiroshima,oita-trinita
ExpG,1.932,0.15
Shots,20,3
ShotsOnTarget,5,1
ShotsFromPK,0,0
Passes,700,494
Crosses,21,8
DirectFK,9,13
IndirectFK,1,2
CK,9,0
Throwin,16,19
Dribbling,14,9
Tackles,17,14
Clearances,11,19
Intercepts,2,1
Offsides,2,1
YellowCards,0,0
RedCards,0,0
30mLineEntries,54,20
PenaltyAreaEntries,22,1
DistanceCovered,116062,116849
Sprints,167,177
Attacks,94,95
ChanceBuildingRate,21.3,3.2
Possession,56.1,43.9
