,urawa-red-diamonds,shimizu-s-pulse
Shots,13,9
ShotsOnTarget,6,0
ShotsFromPK,0,0
Passes,387,604
Crosses,10,13
DirectFK,17,13
IndirectFK,0,8
CK,6,5
Throwin,18,21
Dribbling,13,11
Tackles,24,23
Clearances,26,19
Intercepts,2,2
Offsides,7,0
YellowCards,1,3
RedCards,0,1
30mLineEntries,29,54
PenaltyAreaEntries,13,4
Attacks,118,118
ChanceBuildingRate,11.0,7.6
Possession,40.7,59.3
