,kashiwa-reysol,sagan-tosu
Shots,26,8
ShotsOnTarget,5,2
ShotsFromPK,0,0
Passes,544,303
Crosses,30,15
DirectFK,9,16
IndirectFK,4,3
CK,14,4
Throwin,21,18
Dribbling,12,6
Tackles,15,13
Clearances,25,45
Intercepts,2,3
Offsides,3,4
YellowCards,4,2
RedCards,2,0
30mLineEntries,55,24
PenaltyAreaEntries,22,12
DistanceCovered,106898,108477
Sprints,149,141
Attacks,119,114
ChanceBuildingRate,21.8,7.0
Possession,57.4,42.6
