,albirex-niigata,kashima-antlers
Shots,9,20
ShotsOnTarget,3,9
ShotsFromPK,0,1
Passes,286,513
Crosses,12,25
DirectFK,7,15
IndirectFK,1,3
CK,0,9
Throwin,22,37
Dribbling,17,18
Tackles,24,26
Clearances,49,18
Intercepts,2,0
Offsides,3,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,30,62
PenaltyAreaEntries,9,24
DistanceCovered,109434,109265
Sprints,149,191
Attacks,121,146
ChanceBuildingRate,7.4,13.7
Possession,39,61
