,kashima-antlers,kashiwa-reysol
Shots,11,8
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,453,475
Crosses,10,12
DirectFK,6,17
IndirectFK,7,2
CK,7,2
Throwin,12,23
Dribbling,15,6
Tackles,23,23
Clearances,35,18
Intercepts,7,3
Offsides,1,7
YellowCards,1,2
RedCards,0,0
30mLineEntries,37,43
PenaltyAreaEntries,12,12
Attacks,126,129
ChanceBuildingRate,8.7,6.2
Possession,50.6,49.4
