,yokohama-fa-marinos,cerezo-osaka
Shots,13,6
ShotsOnTarget,4,1
ShotsFromPK,0,0
Passes,599,368
Crosses,15,10
DirectFK,21,7
IndirectFK,5,3
CK,1,4
Throwin,29,19
Dribbling,8,11
Tackles,19,24
Clearances,21,35
Intercepts,3,3
Offsides,3,5
YellowCards,0,4
RedCards,0,0
30mLineEntries,40,27
PenaltyAreaEntries,10,7
Attacks,130,115
ChanceBuildingRate,10.0,5.2
Possession,56.3,43.7
