,vissel-kobe,sagan-tosu
Shots,21,11
ShotsOnTarget,5,2
ShotsFromPK,0,0
Passes,505,277
Crosses,19,13
DirectFK,15,16
IndirectFK,4,5
CK,6,2
Throwin,26,16
Dribbling,21,3
Tackles,22,37
Clearances,18,33
Intercepts,5,4
Offsides,4,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,58,23
PenaltyAreaEntries,19,11
Attacks,136,123
ChanceBuildingRate,15.4,8.9
Possession,56.9,43.1
