,urawa-red-diamonds,albirex-niigata
Shots,20,10
ShotsOnTarget,6,3
ShotsFromPK,1,0
Passes,749,307
Crosses,24,10
DirectFK,10,13
IndirectFK,4,0
CK,10,3
Throwin,24,16
Dribbling,18,13
Tackles,25,23
Clearances,12,23
Intercepts,3,3
Offsides,0,4
YellowCards,1,1
RedCards,0,0
30mLineEntries,69,29
PenaltyAreaEntries,18,11
DistanceCovered,115648,118529
Sprints,154,156
Attacks,136,127
ChanceBuildingRate,14.7,7.9
Possession,65.8,34.2
