,ventforet-kofu,albirex-niigata
Shots,7,8
ShotsOnTarget,2,3
ShotsFromPK,0,0
Passes,551,234
Crosses,18,4
DirectFK,16,11
IndirectFK,4,1
CK,7,4
Throwin,35,25
Dribbling,13,15
Tackles,17,19
Clearances,21,26
Intercepts,0,5
Offsides,1,4
YellowCards,2,0
RedCards,0,0
30mLineEntries,33,20
PenaltyAreaEntries,5,4
DistanceCovered,107855,113202
Sprints,178,174
Attacks,141,121
ChanceBuildingRate,5.0,6.6
Possession,64.3,35.7
