,cerezo-osaka,vegalta-sendai
Shots,12,7
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,569,442
Crosses,16,11
DirectFK,13,7
IndirectFK,6,7
CK,5,1
Throwin,20,18
Dribbling,14,15
Tackles,25,18
Clearances,21,27
Intercepts,5,5
Offsides,7,6
YellowCards,2,1
RedCards,0,0
30mLineEntries,59,40
PenaltyAreaEntries,13,11
Attacks,150,147
ChanceBuildingRate,8.0,4.8
Possession,54.3,45.7
