,nagoya-grampus-eight,ventforet-kofu
Shots,10,7
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,473,509
Crosses,13,26
DirectFK,10,9
IndirectFK,5,3
CK,5,1
Throwin,23,32
Dribbling,16,19
Tackles,32,25
Clearances,21,16
Intercepts,6,8
Offsides,1,4
YellowCards,0,1
RedCards,0,0
30mLineEntries,49,51
PenaltyAreaEntries,8,15
Attacks,149,151
ChanceBuildingRate,6.7,4.6
Possession,48.5,51.5
