,kashima-antlers,vissel-kobe
Shots,21,14
ShotsOnTarget,8,6
ShotsFromPK,0,0
Passes,463,540
Crosses,23,10
DirectFK,12,7
IndirectFK,3,4
CK,5,6
Throwin,28,14
Dribbling,20,19
Tackles,33,31
Clearances,19,23
Intercepts,2,4
Offsides,4,3
YellowCards,0,0
RedCards,0,0
30mLineEntries,53,39
PenaltyAreaEntries,27,15
DistanceCovered,109574,108096
Sprints,211,170
Attacks,136,121
ChanceBuildingRate,15.4,11.6
Possession,46.4,53.6
