,consadole-sapporo,v-varen-nagasaki
Shots,13,17
ShotsOnTarget,4,5
ShotsFromPK,0,0
Passes,526,289
Crosses,14,10
DirectFK,16,12
IndirectFK,1,3
CK,6,4
Throwin,19,16
Dribbling,15,14
Tackles,24,21
Clearances,18,24
Intercepts,3,2
Offsides,3,1
YellowCards,1,2
RedCards,0,0
30mLineEntries,38,29
PenaltyAreaEntries,17,9
DistanceCovered,112777,116041
Sprints,133,168
Attacks,123,120
ChanceBuildingRate,10.6,14.2
Possession,60,40
