,shonan-bellmare,gamba-osaka
Shots,20,9
ShotsOnTarget,6,0
ShotsFromPK,0,0
Passes,311,622
Crosses,12,16
DirectFK,10,9
IndirectFK,4,2
CK,5,4
Throwin,21,29
Dribbling,11,11
Tackles,18,8
Clearances,26,26
Intercepts,2,3
Offsides,1,4
YellowCards,1,1
RedCards,0,0
30mLineEntries,33,55
PenaltyAreaEntries,12,12
DistanceCovered,118315,114308
Sprints,163,168
Attacks,110,115
ChanceBuildingRate,18.2,7.8
Possession,36.1,63.9
